Day,TeamsSearch,SkypeSearch,MeetSearch,ZoomSearch,CovidSearch,CovidNewCases,PriceGOOGL,PriceMSFT,PriceZM
2020-04-28,185.77413017861224,185.77413017861224,178.14749145308878,248.86066711066712,14.220609549180978,75540,1232.589966,169.809998,156.720001
2020-04-29,172.5045494515685,185.77413017861224,197.06803899231798,252.41581949796236,17.775761936476222,77110,1342.180054,177.429993,146.479996
2020-04-30,159.23496872452478,159.23496872452478,201.49123256799922,241.75036233607662,14.220609549180978,83495,1346.699951,179.210007,135.169998
2020-05-01,101.7334522406686,137.11900084611855,123.59744562324184,213.30914323771466,14.220609549180978,88376,1317.319946,174.570007,138.559998
2020-05-02,53.078322908174925,123.84942011907482,66.83580300555427,174.20246697746697,14.220609549180978,79200,NA,NA,NA
2020-05-03,61.92471005953741,110.57983939203109,69.04739979339489,163.53700981558126,14.220609549180978,76373,NA,NA,NA
2020-05-04,159.23496872452478,159.23496872452478,171.51270108956692,213.30914323771466,17.775761936476222,77689,1322.900024,178.839996,143.440002
2020-05-05,159.23496872452478,159.23496872452478,163.6501374895408,213.30914323771466,14.220609549180978,80502,1349.02002,180.759995,144.820007
2020-05-06,159.23496872452478,159.23496872452478,190.43324862879612,220.41944801230517,14.220609549180978,90028,1345.430054,182.539993,149.589996
2020-05-07,150.38858157316227,150.38858157316227,188.2216518409555,231.08490517419088,14.220609549180978,88706,1369.280029,183.600006,157.800003
2020-05-08,123.84942011907482,132.6958072704373,161.4385407017002,220.41944801230517,14.220609549180978,90279,1384.339966,184.679993,155.399994
2020-05-09,57.501516483856165,101.7334522406686,71.25899658123551,159.981857428286,14.220609549180978,85223,NA,NA,NA
2020-05-10,57.501516483856165,101.7334522406686,56.76164261768757,145.761247879105,14.220609549180978,74976,NA,NA,NA
2020-05-11,159.23496872452478,145.96538799748103,178.14749145308878,209.75399085041943,17.775761936476222,76631,1403.589966,186.740005,166.479996
